UniProt1	UniProt2	symbol1	symbol2	evidence type
O15389	O60880	SIGLEC5	SH2D1A	exp;pred
O60880	O60880	SH2D1A	SH2D1A	exp;pred
O43699	O60880	SIGLEC6	SH2D1A	exp
O14980	O60884	XPO1	DNAJA2	exp
A4FU01	O60884	MTMR11	DNAJA2	exp
O00231	O60884	PSMD11	DNAJA2	exp
O14654	O60884	IRS4	DNAJA2	exp
O60244	O60885	MED14	BRD4	exp
A6H8Y1	O60885	BDP1	BRD4	exp
O60888	O60888	CUTA	CUTA	exp;pred
O60894	O60894	RAMP1	RAMP1	exp
O60895	O60895	RAMP2	RAMP2	exp
O14980	O60907	XPO1	TBL1X	exp
O43593	O60907	HR	TBL1X	exp
O15379	O60907	HDAC3	TBL1X	exp;pred
O60907	O60907	TBL1X	TBL1X	exp
O14641	O60907	DVL2	TBL1X	exp
O60479	O60907	DLX3	TBL1X	exp
O43847	O60907	NRDC	TBL1X	exp
O14867	O60934	BACH1	NBN	exp;pred
O15151	O60934	MDM4	NBN	exp;pred
O60936	O60936	NOL3	NOL3	exp
O00483	O75027	NDUFA4	ABCB7	exp
O43638	O75027	FOXS1	ABCB7	exp
O00487	O75030	PSMD14	MITF	exp;ortho
O14980	O75030	XPO1	MITF	exp
O60307	O75044	MAST3	SRGAP2	exp
O14744	O75044	PRMT5	SRGAP2	exp
O60610	O75044	DIAPH1	SRGAP2	exp
O43896	O75044	KIF1C	SRGAP2	exp;pred
O60573	O75044	EIF4E2	SRGAP2	exp
